entity_id,name,first_name,second_name,third_name,father_name,last_name,title,type,quality,description
us-ofac.567b859835b4a36a439b6df479b609ea44a0452a,AERO-CARIBBEAN,,,,,AERO-CARIBBEAN,,a.k.a.,strong,
us-ofac.1a4cc02e819a231fa37091ceb94ac356a18c8620,AVIA IMPORT,,,,,AVIA IMPORT,,a.k.a.,strong,
us-ofac.225dc230dc2435f7298f60fd8566dcefed906e6f,BNC,,,,,BNC,,a.k.a.,weak,
us-ofac.225dc230dc2435f7298f60fd8566dcefed906e6f,NATIONAL BANK OF CUBA,,,,,NATIONAL BANK OF CUBA,,a.k.a.,strong,
us-ofac.4cb2db780a512c17bfbb118bf36db37cef7c9ae2,COIBA,,,,,COIBA,,a.k.a.,strong,
us-ofac.5f0b8d7c1f96c2c400245c1e22581748ffbcc336,CRYMSA,,,,,CRYMSA,,a.k.a.,strong,
us-ofac.bd7ae0592ff5573c3fb7fde9af4273c419ed7ad3,COPROVA,,,,,COPROVA,,a.k.a.,strong,
us-ofac.bd7ae0592ff5573c3fb7fde9af4273c419ed7ad3,COPROVA SARL,,,,,COPROVA SARL,,a.k.a.,strong,
us-ofac.674d801afbc87bf7304c97459c1437580a665854,CIMEX,,,,,CIMEX,,a.k.a.,strong,
us-ofac.fc0c6063a7fbe06da408a066c76c6ce9a603cb99,DELVEST HOLDING COMPANY,,,,,DELVEST HOLDING COMPANY,,a.k.a.,strong,
us-ofac.8a0fc8f491ec8d038eec09480374cbe409ce4f5a,CUBANA AIRLINES,,,,,CUBANA AIRLINES,,a.k.a.,strong,
us-ofac.f99931c93c5321419c910ea2692e99e62065edf5,CARIBEX,,,,,CARIBEX,,a.k.a.,weak,
us-ofac.f99931c93c5321419c910ea2692e99e62065edf5,CARIBBEAN EXPORT ENTERPRISE,,,,,CARIBBEAN EXPORT ENTERPRISE,,a.k.a.,strong,
us-ofac.0cd2370b3d356cd45db4c61af8169ac85049f65a,CUBATUR,,,,,CUBATUR,,a.k.a.,strong,
us-ofac.80b854bf1aaa83e102e1e3433bb1256c98f891a3,GALAX INC.,,,,,GALAX INC.,,a.k.a.,strong,
us-ofac.1c1ba2df1120b93b35956c81359cf6b3af5c2875,CUFLET,,,,,CUFLET,,a.k.a.,strong,
us-ofac.1c1ba2df1120b93b35956c81359cf6b3af5c2875,CUBAN FREIGHT ENTERPRISE,,,,,CUBAN FREIGHT ENTERPRISE,,a.k.a.,strong,
us-ofac.2c99a0ab3aeeff5919f28312bd539eda851ff210,"TROVER, S.A.",,,,,"TROVER, S.A.",,a.k.a.,strong,
us-ofac.5a65dee24c2c2e01e7558a626dbc5d6196e6a312,TROPICANA TOURS GMBH,,,,,TROPICANA TOURS GMBH,,a.k.a.,strong,
us-ofac.b7ec4b0cf32888bd36d0d8a7bfafd9b445a8458b,Muhammad ZAYDAN,Muhammad,,,,ZAYDAN,,a.k.a.,strong,
us-ofac.1aba3758eb7b3bb95dfaeee2d062f309141cac4d,Ayman AL-ZAWAHIRI,Ayman,,,,AL-ZAWAHIRI,,a.k.a.,strong,
us-ofac.1aba3758eb7b3bb95dfaeee2d062f309141cac4d,Ahmad Fuad SALIM,Ahmad Fuad,,,,SALIM,,a.k.a.,strong,
us-ofac.1aba3758eb7b3bb95dfaeee2d062f309141cac4d,Aiman Muhammad Rabi AL-ZAWAHIRI,Aiman Muhammad Rabi,,,,AL-ZAWAHIRI,,a.k.a.,strong,
us-ofac.1731f42cc2f1abc5bb63e39ff4af86331656970d,Colonel Abbud ZUMAR,Colonel Abbud,,,,ZUMAR,,a.k.a.,strong,
us-ofac.121bd659921936dd44d996e72ca8cfcffe866290,George HABASH,George,,,,HABASH,,a.k.a.,strong,
us-ofac.92d95879aca4564039f102717a29f2f3a847cf88,Nayif HAWATMEH,Nayif,,,,HAWATMEH,,a.k.a.,strong,
us-ofac.92d95879aca4564039f102717a29f2f3a847cf88,Nayif HAWATMAH,Nayif,,,,HAWATMAH,,a.k.a.,strong,
us-ofac.92d95879aca4564039f102717a29f2f3a847cf88,Abu KHALID,Abu,,,,KHALID,,a.k.a.,strong,
us-ofac.2a9a975a1f82a1c77443bf6aaf3f8eb7a74ac3e0,Ahmad JIBRIL,Ahmad,,,,JIBRIL,,a.k.a.,strong,
us-ofac.43b8cab2ed2ef65503f6ab4164dadc7dba0ee319,Hasan Abd-al-Karim NASRALLAH,Hasan Abd-al-Karim,,,,NASRALLAH,,a.k.a.,strong,
