entity_id,quality,country,country_code,place,description
us-ofac.87aae9aabc6c9ff5072c5fdb091f5d5fe4bfd5ef,strong,,,Egypt,
us-ofac.1aba3758eb7b3bb95dfaeee2d062f309141cac4d,strong,,,"Giza, Egypt",
us-ofac.1731f42cc2f1abc5bb63e39ff4af86331656970d,strong,,,Egypt,
us-ofac.4e7541391dd1c799c789793e38019d09b32f3a00,strong,,,"Najf Al Ashraf (Najaf), Iraq",
us-ofac.2c942853101f773373ed581f919cd3e637acc0dc,strong,,,Egypt,
us-ofac.2a9a975a1f82a1c77443bf6aaf3f8eb7a74ac3e0,strong,,,"Ramleh, Israel",
us-ofac.17177793e5bc778c66491f8b2b3134ab8d87c6d4,strong,,,"Al Nasiria, Palestine",
us-ofac.43b8cab2ed2ef65503f6ab4164dadc7dba0ee319,strong,,,"Al Basuriyah, Lebanon",
us-ofac.2ba1b51d31a579e56632bdf6e530a54e80f02f32,strong,,,"Biqa Valley, Lebanon",
us-ofac.938a2263e6210768939c5d02e07f1cce3bf70a06,strong,,,"al-Jawrah, al-Majdal District, Gaza",
us-ofac.1d9ecff4a8bfffe7211f243072e4791ed66115fb,strong,,,"Gaza, Egypt",
us-ofac.d2178084c5cd351dbbfe390af257c2db1a2f0e05,strong,,,"Gaza City, Gaza Strip",
us-ofac.7cc8b2d0b816afb788ba247f453afa2075d670b8,strong,,,"Jeddah, Saudi Arabia",
us-ofac.7cc8b2d0b816afb788ba247f453afa2075d670b8,weak,,,Yemen,
us-ofac.03a4fe72502aab386b6481c5926e6129483091f4,strong,,,"Alexandria, Egypt",
us-ofac.555c163435705ddd938dc1a014db6ac3973f299c,strong,,,Egypt,
us-ofac.ec6b99bc0a93f95d0d4b2ab0e096d2b864d8339e,strong,,,"Hotak, Kandahar Province, Afghanistan",
us-ofac.9853940c408a8b6cc9a573d5360991a506cabe78,strong,,,Mexico,
us-ofac.78ff70b8bff473e12ffc17c044f6ad4c7739a122,strong,,,Mexico,
us-ofac.06096031956bd72a4ce2281caafecbd243fc016b,strong,,,Mexico,
us-ofac.2f09713fa56a074a117b1fcc7d9af323ff204325,strong,,,Mexico,
us-ofac.fd0598c8bbf7dfed9e4fb64b59b62570808f32cd,strong,,,Mexico,
us-ofac.c57521582f4cf230fbbe88f650a957d6bcdf6470,strong,,,Burma,
us-ofac.6349bad7fba99c381866d0291d352c53c812a0a4,strong,,,St Kitts and Nevis,
us-ofac.726fade7927ae349c3cf565d2ef3626789e0a3da,strong,,,Nigeria,
us-ofac.f7ef3e1f91436095b7a2d1688ad8f37df35aae91,strong,,,Nigeria,
us-ofac.fd88c135bba30f763a82805959742b8817b24b91,strong,,,Mexico,
us-ofac.ca2272f910dcd30a8b35feb11a0436519d76dd64,strong,,,"Cartago, Valle, Colombia",
us-ofac.c1fed7bb45e66d36208241d8316e5ebe777d7b50,strong,,,"Cartago, Valle Colombia",
us-ofac.6a257c3f82a1a585ec4d6785c11ff6be31d8e7a0,strong,,,Mexico,
us-ofac.6f4411c23bbe3b47c7db563b0de2f38faab3e560,strong,,,Pakistan,
us-ofac.5d680d50f77fd78aa25a9a4441179ea9dd5827cf,strong,,,Mexico,
us-ofac.c1659d8dace3bb06b8d227093c688ce1bb4a8090,strong,,,Mexico,
us-ofac.4a3fe2775b0f4738b2687eb64e1bd9beb015bae1,strong,,,Burma,
us-ofac.9fac842677359098b3c42e112c71d5bf0d19e297,strong,,,Israel,
us-ofac.43d2a05a98753ca48a64e5166b7970d81aa6cb56,strong,,,Mexico,
us-ofac.462e4db1087d6f98b9cce7ab9450f013b9f8f2cb,strong,,,Mexico,
us-ofac.4d3c22c6caf3b3b1f9d02095e3b70ed66d9784cb,strong,,,Pakistan,
us-ofac.a99989f11ba1039b587d4a0d28ba57db79099de6,strong,,,Mexico,
us-ofac.ca63a758aec1534a0cb68cb2c6e67c25b6a2b13c,strong,,,Egypt,
us-ofac.72aed50cf484d6a7e0b9a38bd0492859e4bf3d77,strong,,,Egypt,
us-ofac.b65bde42cf88ce8296b2adfbb9549cbc9820e6a3,strong,,,"Riyadh, Saudi Arabia",
us-ofac.99640f689b997e89d86ebb7b58032af822795c97,strong,,,Egypt,
us-ofac.c556a7f2d8689ef9bff5c5fdc09b788f9e3bcd5f,strong,,,"Alexandria, Egypt",
us-ofac.84af54e7e0b9dd6f00d240b54ac6b36a7fef3f1c,strong,,,Egypt,
us-ofac.0b403487f2c9051cebf285bd24eb6cba123d26af,strong,,,Egypt,
us-ofac.acbfbebac7722a2441a997009161c5f39dd2fe30,strong,,,"Qatif-Bab al Shamal, Saudi Arabia",
us-ofac.3501b508f02f53bbec27eaaa3da9676abf3b879d,strong,,,"Al Ihsa, Saudi Arabia",
us-ofac.96c0c02fa243b8f006293ba0172753ff963a5ecf,strong,,,"Tarut, Saudi Arabia",
us-ofac.f6d000cfb05f915a3d771c145a3ef3f28fd4204c,strong,,,Lebanon,
us-ofac.98592845d84fbbd89fcc3fdcf4bed03adfc9f558,strong,,,"El Dibabiya, Saudi Arabia",
us-ofac.f414d38c02fde4ff5ab23b9d9cc14dc9e23fe175,strong,,,"Cairo, Egypt",
us-ofac.b11c4c1e238a6782798de8c6fbfe191d4cea5ece,strong,,,"Zanzibar, Tanzania",
us-ofac.04a27040fe0f4aca8aa0b5e0c9d4922ef2222305,strong,,,Lebanon,
us-ofac.e84d453c00ce533df1edf4993286671e5eea53f1,strong,,,"Moroni, Comoros Islands",
us-ofac.76929ce2438a2f2462a85a6d1129a04917281a2b,strong,,,Kuwait,
us-ofac.de7d9cca9a40b0d9263ad5419a55edd43bba99f9,strong,,,"Bloomington, Indiana USA",
us-ofac.f9a78b98a5c88ab032ace8cf9cf44c818a2e7b86,strong,,,"Nangahar Province, Afghanistan",
us-ofac.d5af7a78f44e50500c4d6da53b79b2a95acfb37d,strong,,,"Al-Mukalla, Yemen",
us-ofac.90baa8db44e97dd4cf49be3c4a38828ea1d474f0,strong,,,"Al-Medinah, Saudi Arabia",
us-ofac.eb97e273ce53b5148e9d1aeaea78059bfbcbe633,strong,,,"Safais (Sfax), Tunisia",
us-ofac.c266ccc3a92545168b690e77c5d77ee9b124ed9f,strong,,,"Aleppo, Syria",
us-ofac.869ef588825b4a82c1b7c356c0cc8865de11237d,strong,,,"California, USA",
us-ofac.2d351686db4484d7867b2dfb092f2f291d3b0725,strong,,,"Bethlehem, West Bank, Palestinian Territories",
us-ofac.16cb87d8efd330fccc92acce29853e6a61c3839f,strong,,,"Mogadishu, Somalia",
us-ofac.3af0ef14c322e44d385ca4392183adc2773e47ae,strong,,,"Rouiba, Algiers, Algeria",
us-ofac.7176e1fe4da16fade8f09767de417ca461bd439b,strong,,,"Santa Agueda,Baja California Sur,Mexico",
us-ofac.80325aa84766e87ec67512bee148d948d6332caa,strong,,,"Tijuana, Baja California, Mexico",
us-ofac.69fb24e1a0002a0e110b00f4f5ff34300bcf94c1,strong,,,"Guadalajara, Jalisco",
us-ofac.1e144298d11814bda4b3d7e2d8e5a5901dd01183,strong,,,"Culiacan, Sinaloa, Mexico",
us-ofac.b8f4ab514a0f2d8648089c9e5bc6c5ebf1a6050e,strong,,,"Baja California Norte, Mexico",
us-ofac.09eacb433b59603b39da635f2794c5c6df636fb1,strong,,,"Vicente Guerrero, Durango",
us-ofac.6012e38790a10a1d0a1d2eeb03d49d7dfe44d618,strong,,,"Distrito Federal, Mexico",
us-ofac.bdab7e9b9e1ac65bd22e09be69f7e781cec2e3cf,strong,,,"Coahuila, Mexico",
us-ofac.7d3a0888936da9cc4e0a13e41185828a0745dd78,strong,,,"Guadalajara, Jalisco, Mexico",
us-ofac.b0aedd10db7103c65d060196ca307b3daa5033dc,strong,,,"Guernica, Vizcaya Province, Spain",
us-ofac.c233e0f72bcd9bc565bdc14574eee0f615bf4ba3,strong,,,"Durango, Vizcaya Province, Spain",
us-ofac.c5519a7bb348713f3e2e28a6b23eeb239c651fed,strong,,,"Portugalete, Vizcaya Province, Spain",
us-ofac.ef63048d7bdee3b41c984affdb06d87f32c4ed64,strong,,,"San Sebastian, Guizpucoa Province, Spain",
us-ofac.f6303183fc2caafe693dc7e5ecc10308fa28a5f3,strong,,,"Regil, Guipuzcoa Province, Spain",
us-ofac.aa01ebc10c19a4900c6c6f8fb685ab6723c663e1,strong,,,"Vergara, Guipuzcoa Province, Spain",
us-ofac.556f5fb35f562c9cd49657490c2722f9bf7363f5,strong,,,"Baracaldo, Vizcaya Province, Spain",
us-ofac.ad3a38424dcc1889630e492a837c104b4c7ff361,strong,,,"Guernica, Vizacaya Province, Spain",
