id,source,type,name,first_name,second_name,third_name,father_name,last_name,title,program,function,summary,url,gender,listed_at,updated_at,timestamp
us-ofac.567b859835b4a36a439b6df479b609ea44a0452a,us-ofac,entity,AEROCARIBBEAN AIRLINES,,,,,AEROCARIBBEAN AIRLINES,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.091980
us-ofac.1a4cc02e819a231fa37091ceb94ac356a18c8620,us-ofac,entity,"ANGLO-CARIBBEAN CO., LTD.",,,,,"ANGLO-CARIBBEAN CO., LTD.",,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.102441
us-ofac.225dc230dc2435f7298f60fd8566dcefed906e6f,us-ofac,entity,BANCO NACIONAL DE CUBA,,,,,BANCO NACIONAL DE CUBA,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.109699
us-ofac.511e00a9636f7a18645312e60a75c20f1e7f370e,us-ofac,entity,BOUTIQUE LA MAISON,,,,,BOUTIQUE LA MAISON,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.116888
us-ofac.8350ab9cc3f7905d34d42e49b7db4d6da44b8adc,us-ofac,entity,CASA DE CUBA,,,,,CASA DE CUBA,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.122338
us-ofac.ece0247187ed59656f14a7aa53815c515d27d243,us-ofac,entity,"CECOEX, S.A.",,,,,"CECOEX, S.A.",,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.128447
us-ofac.48ddf3220bbd86a1ce0cddc7781c9ed74b39e55e,us-ofac,entity,CIMEX,,,,,CIMEX,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.135330
us-ofac.7308126e111a1bfd9595f22fc6bd7fdb6bb4bd70,us-ofac,entity,CIMEX IBERICA,,,,,CIMEX IBERICA,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.141662
us-ofac.138178148ca97fadf8afd5fe480942dc502cc0c9,us-ofac,entity,"CIMEX, S.A.",,,,,"CIMEX, S.A.",,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.148234
us-ofac.4cb2db780a512c17bfbb118bf36db37cef7c9ae2,us-ofac,entity,"COMERCIAL IBEROAMERICANA, S.A.",,,,,"COMERCIAL IBEROAMERICANA, S.A.",,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.154719
us-ofac.c680e537e05ba4c7c4cba41bfc0f570246e60194,us-ofac,entity,"COMERCIAL CIMEX, S.A.",,,,,"COMERCIAL CIMEX, S.A.",,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.160468
us-ofac.5f0b8d7c1f96c2c400245c1e22581748ffbcc336,us-ofac,entity,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",,,,,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.166436
us-ofac.bd7ae0592ff5573c3fb7fde9af4273c419ed7ad3,us-ofac,entity,COMERCIALIZACION DE PRODUCTOS VARIOS,,,,,COMERCIALIZACION DE PRODUCTOS VARIOS,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.173462
us-ofac.674d801afbc87bf7304c97459c1437580a665854,us-ofac,entity,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,,,,,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.179442
us-ofac.94a6dd37c4122e82b4d80c9ce584b34e314769c6,us-ofac,entity,"CORPORACION CIMEX, S.A.",,,,,"CORPORACION CIMEX, S.A.",,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.185793
us-ofac.cf0bc2abc8f91ed23dc7d2494d2a23c3f94b542f,us-ofac,entity,COTEI,,,,,COTEI,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.191781
us-ofac.16fdcf40541a95130bda8c05353ba520f9fa9438,us-ofac,individual,Juan M. de la CRUZ,Juan M. de la,,,,CRUZ,,CUBA,"Director, Banco Nacional de Cuba",,,,,2018-04-06,2018-04-17T16:19:53.197090
us-ofac.812b24570e79d667204d7c11e8a7762bdad334b8,us-ofac,entity,"CRYMSA - ARGENTINA, S.A.",,,,,"CRYMSA - ARGENTINA, S.A.",,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.202977
us-ofac.b4a2fb513d01fe8e4829f94fb56db63f8d761121,us-ofac,entity,CUBACANCUN CIGARS AND GIFT SHOPS,,,,,CUBACANCUN CIGARS AND GIFT SHOPS,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.209894
us-ofac.da606eb6a84bffa37b8db7ef64b8360ced2e3430,us-ofac,entity,CUBAEXPORT,,,,,CUBAEXPORT,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.216328
us-ofac.db74a1b9f26ae2c8b91d8eec9c263c2590df2d48,us-ofac,entity,CUBAFRUTAS,,,,,CUBAFRUTAS,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.221934
us-ofac.d93b1bef4389b676fd844f01fe12cf9deb660235,us-ofac,entity,CUBAN CIGARS TRADE,,,,,CUBAN CIGARS TRADE,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.228899
us-ofac.4c3bec76a2a83e13ee39ca6008e6fd6fc0abbc43,us-ofac,entity,CUBANATUR,,,,,CUBANATUR,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.234953
us-ofac.a25d637889e547b7525db5ce689e051a5f560dad,us-ofac,entity,CUBATABACO,,,,,CUBATABACO,,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.241360
us-ofac.607c5ad28c66cc6b09070deabfdcd6de9cd38607,us-ofac,entity,"CUMEXINT, S.A.",,,,,"CUMEXINT, S.A.",,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.246610
us-ofac.fc0c6063a7fbe06da408a066c76c6ce9a603cb99,us-ofac,entity,"DELVEST HOLDING, S.A.",,,,,"DELVEST HOLDING, S.A.",,CUBA,,,,,,2018-04-06,2018-04-17T16:19:53.252582
